id,subject_id,subject_type,notes,created_at,updated_at,"Type of problem (data, API, impossible route)",Mapbox issue #,"Status (fixed, can't fix, open)"
103691,643665,Poi,"Unroutable Waypoint:
Type: poi
Name: The Ritz London
ID:
Location:[-0.14121025800705, 51.5072867239295]
Poi:643665
Byway:
Waypoint before:
Type: poi
Name: The Egg & I
ID:54713931
Location:[-104.8208965, 41.1385564]
Poi:569934
Byway:
Waypoint after:
Type: geo
Name: Idaho Falls
ID:54713988
Location:[-112.0341, 43.4666]
Poi:
Byway:
Timestamp:2015-04-22 21:31:27 +0000",4/22/15 9:31:29 PM,4/22/15 9:31:29 PM,no routes between USA and GB,#155,can't fix
103891,23041,Poi,"Unroutable Waypoint:
Type: poi
Name: Lincoln Home National Historic Site
ID:
Location:[-89.644925, 39.797353]
Poi:23041
Byway:
Waypoint before:
Type: poi
Name: Thorntons Inc
ID:54714519
Location:[-88.149988346336, 41.521595246188554]
Poi:1876550
Byway:
Waypoint after:
Type: geo
Name: Peoria, Arizona, United States
ID:54714038
Location:[-112.2374, 33.5806]
Poi:
Byway:
Timestamp:2015-04-22 21:44:04 +0000",4/22/15 9:44:06 PM,4/22/15 9:44:06 PM,,#156,closed
103910,23041,Poi,"Unroutable Waypoint:
Type: poi
Name: Lincoln Home National Historic Site
ID:
Location:[-89.644925, 39.797353]
Poi:23041
Byway:
Waypoint before:
Type: poi
Name: Thorntons Inc
ID:54714519
Location:[-88.149988346336, 41.521595246188554]
Poi:1876550
Byway:
Waypoint after:
Type: geo
Name: Peoria, Arizona, United States
ID:54714038
Location:[-112.2374, 33.5806]
Poi:
Byway:
Timestamp:2015-04-22 21:44:22 +0000",4/22/15 9:44:24 PM,4/22/15 9:44:24 PM,,"#156, closed",
103938,23041,Poi,"Unroutable Waypoint:
Type: poi
Name: Lincoln Home National Historic Site
ID:
Location:[-89.644925, 39.797353]
Poi:23041
Byway:
Waypoint before:
Type: poi
Name: Thorntons Inc
ID:54714519
Location:[-88.149988346336, 41.521595246188554]
Poi:1876550
Byway:
Waypoint after:
Type: geo
Name: Peoria, Arizona, United States
ID:54714038
Location:[-112.2374, 33.5806]
Poi:
Byway:
Timestamp:2015-04-22 21:45:45 +0000",4/22/15 9:45:47 PM,4/22/15 9:45:47 PM,,#156,
103957,23041,Poi,"Unroutable Waypoint:
Type: poi
Name: Lincoln Home National Historic Site
ID:
Location:[-89.644925, 39.797353]
Poi:23041
Byway:
Waypoint before:
Type: poi
Name: Thorntons Inc
ID:54714519
Location:[-88.149988346336, 41.521595246188554]
Poi:1876550
Byway:
Waypoint after:
Type: poi
Name: Gateway Arch
ID:54715393
Location:[-90.1854764, 38.6248073]
Poi:3913
Byway:
Timestamp:2015-04-22 21:47:48 +0000",4/22/15 9:47:51 PM,4/22/15 9:47:51 PM,,#157,
104453,2,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Destin
ID:
Location:[0.4888778, 44.23787]
Poi:
Byway:
Waypoint before:
Type: geo
Name: 565 NW 24th St, Miami, FL
ID:54717465
Location:[-80.20443, 25.80014]
Poi:
Byway:
Waypoint after:
Type: geo
Name: New Orleans, Louisiana, United States
ID:54717466
Location:[-89.9354, 30.0533]
Poi:
Byway:
Timestamp:2015-04-22 22:16:38 +0000",4/22/15 10:16:39 PM,4/22/15 10:16:39 PM,,,
105066,3,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Norwegian Sea, South Padre Island, TX
ID:
Location:[-97.15962, 26.07491]
Poi:
Byway:
Waypoint before:
Type: geo
Name: Norwegian Sea, South Padre Island, TX
ID:
Location:[-97.15962, 26.07491]
Poi:
Byway:
Waypoint after:
Type: poi
Name: North Padre Island, S Padre Island Dr Corpus Christi TX
ID:
Location:[-97.22462, 27.58589]
Poi:1760334
Byway:
Timestamp:2015-04-22 23:06:02 +0000",4/22/15 11:06:03 PM,4/22/15 11:06:03 PM,,,
105067,4,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Hawaii, USA
ID:
Location:[-155.5827818, 19.8967662]
Poi:
Byway:
Waypoint before:
Type: geo
Name: Montreal, QC, Canada
ID:
Location:[-73.567256, 45.5016889]
Poi:
Byway:
Waypoint after:

Timestamp:2015-04-22 23:06:07 +0000",4/22/15 11:06:08 PM,4/22/15 11:06:08 PM,,,
105068,5,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Norwegian Sea, South Padre Island, TX
ID:
Location:[-97.15962, 26.07491]
Poi:
Byway:
Waypoint before:
Type: geo
Name: Norwegian Sea, South Padre Island, TX
ID:
Location:[-97.15962, 26.07491]
Poi:
Byway:
Waypoint after:
Type: poi
Name: North Padre Island, S Padre Island Dr Corpus Christi TX
ID:
Location:[-97.22462, 27.58589]
Poi:1760334
Byway:
Timestamp:2015-04-22 23:06:14 +0000",4/22/15 11:06:14 PM,4/22/15 11:06:14 PM,,,
105168,1760334,Poi,"Unroutable Waypoint:
Type: poi
Name: North Padre Island, S Padre Island Dr Corpus Christi TX
ID:
Location:[-97.22462, 27.58589]
Poi:1760334
Byway:
Waypoint before:
Type: geo
Name: Norwegian Sea, South Padre Island, TX
ID:
Location:[-97.15961, 26.07491]
Poi:
Byway:
Waypoint after:

Timestamp:2015-04-22 23:12:54 +0000",4/22/15 11:12:54 PM,4/22/15 11:12:54 PM,,,
105169,1760334,Poi,"Unroutable Waypoint:
Type: poi
Name: North Padre Island, S Padre Island Dr Corpus Christi TX
ID:
Location:[-97.22462, 27.58589]
Poi:1760334
Byway:
Waypoint before:
Type: geo
Name: Norwegian Sea, South Padre Island, TX
ID:
Location:[-97.15961, 26.07491]
Poi:
Byway:
Waypoint after:

Timestamp:2015-04-22 23:13:08 +0000",4/22/15 11:13:08 PM,4/22/15 11:13:08 PM,,,
105179,1760334,Poi,"Unroutable Waypoint:
Type: poi
Name: North Padre Island, S Padre Island Dr Corpus Christi TX
ID:
Location:[-97.22462, 27.58589]
Poi:1760334
Byway:
Waypoint before:
Type: geo
Name: Norwegian Sea, South Padre Island, TX
ID:
Location:[-97.15961, 26.07491]
Poi:
Byway:
Waypoint after:

Timestamp:2015-04-22 23:13:37 +0000",4/22/15 11:13:38 PM,4/22/15 11:13:38 PM,,,
105180,1760334,Poi,"Unroutable Waypoint:
Type: poi
Name: North Padre Island, S Padre Island Dr Corpus Christi TX
ID:
Location:[-97.22462, 27.58589]
Poi:1760334
Byway:
Waypoint before:
Type: geo
Name: Norwegian Sea, South Padre Island, TX
ID:
Location:[-97.15961, 26.07491]
Poi:
Byway:
Waypoint after:

Timestamp:2015-04-22 23:14:28 +0000",4/22/15 11:14:29 PM,4/22/15 11:14:29 PM,,,
105883,6,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: München, Bayern, Germany
ID:
Location:[11.571, 48.1345]
Poi:
Byway:
Waypoint before:
Type: geo
Name: Amsterdam, Noord-Holland, Netherlands
ID:
Location:[4.8897, 52.374]
Poi:
Byway:
Waypoint after:

Timestamp:2015-04-23 00:00:15 +0000",4/23/15 12:00:16 AM,4/23/15 12:00:16 AM,,,
106212,7,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Heidelberg, Baden-Württemberg, Germany
ID:
Location:[8.6908, 49.4077]
Poi:
Byway:
Waypoint before:
Type: geo
Name: Frankfurt am Main, DE
ID:
Location:[8.68417, 50.11552]
Poi:
Byway:
Waypoint after:

Timestamp:2015-04-23 00:18:36 +0000",4/23/15 12:18:37 AM,4/23/15 12:18:37 AM,,,
106245,8,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Heidelberg, Baden-Württemberg, Germany
ID:
Location:[8.6908, 49.4077]
Poi:
Byway:
Waypoint before:
Type: geo
Name: Frankfurt am Main, DE
ID:
Location:[8.68417, 50.11552]
Poi:
Byway:
Waypoint after:

Timestamp:2015-04-23 00:19:31 +0000",4/23/15 12:19:32 AM,4/23/15 12:19:32 AM,,,
106246,9,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Key West, Florida, United States
ID:
Location:[-81.7826, 24.5557]
Poi:
Byway:
Waypoint before:
Type: poi
Name: St. Petersburg Pier, 800 Second Ave NE Saint Petersburg FL
ID:
Location:[-82.62455, 27.77348]
Poi:1540438
Byway:
Waypoint after:

Timestamp:2015-04-23 00:19:49 +0000",4/23/15 12:19:50 AM,4/23/15 12:19:50 AM,,,
106247,10,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Key West, Florida, United States
ID:
Location:[-81.7826, 24.5557]
Poi:
Byway:
Waypoint before:
Type: poi
Name: St. Petersburg Pier, 800 Second Ave NE Saint Petersburg FL
ID:
Location:[-82.62455, 27.77348]
Poi:1540438
Byway:
Waypoint after:

Timestamp:2015-04-23 00:20:10 +0000",4/23/15 12:20:11 AM,4/23/15 12:20:11 AM,,,
106248,11,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Heidelberg, Baden-Württemberg, Germany
ID:
Location:[8.6908, 49.4077]
Poi:
Byway:
Waypoint before:
Type: geo
Name: Frankfurt am Main, DE
ID:
Location:[8.68417, 50.11552]
Poi:
Byway:
Waypoint after:

Timestamp:2015-04-23 00:20:17 +0000",4/23/15 12:20:18 AM,4/23/15 12:20:18 AM,,,
106265,12,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Frankfurt am Main, DE
ID:
Location:[8.68417, 50.11552]
Poi:
Byway:
Waypoint before:
Type: geo
Name: Heidelberg, Baden-Württemberg, Germany
ID:
Location:[8.6908, 49.4077]
Poi:
Byway:
Waypoint after:

Timestamp:2015-04-23 00:21:54 +0000",4/23/15 12:21:55 AM,4/23/15 12:21:55 AM,,,
106314,13,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Frankfurt am Main, DE
ID:
Location:[8.68417, 50.11552]
Poi:
Byway:
Waypoint before:
Type: geo
Name: Heidelberg, Baden-Württemberg, Germany
ID:
Location:[8.6908, 49.4077]
Poi:
Byway:
Waypoint after:

Timestamp:2015-04-23 00:23:08 +0000",4/23/15 12:23:09 AM,4/23/15 12:23:09 AM,,,
106355,14,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Heidelberg, Baden-Württemberg, Germany
ID:
Location:[8.6908, 49.4077]
Poi:
Byway:
Waypoint before:
Type: geo
Name: Frankfurt am Main, DE
ID:
Location:[8.68417, 50.11552]
Poi:
Byway:
Waypoint after:

Timestamp:2015-04-23 00:24:21 +0000",4/23/15 12:24:21 AM,4/23/15 12:24:21 AM,,,
106364,15,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Heidelberg, Baden-Württemberg, Germany
ID:
Location:[8.6908, 49.4077]
Poi:
Byway:
Waypoint before:
Type: geo
Name: Frankfurt am Main, DE
ID:
Location:[8.68417, 50.11552]
Poi:
Byway:
Waypoint after:

Timestamp:2015-04-23 00:25:32 +0000",4/23/15 12:25:33 AM,4/23/15 12:25:33 AM,,,
106389,16,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Heidelberg, Baden-Württemberg, Germany
ID:
Location:[8.6908, 49.4077]
Poi:
Byway:
Waypoint before:
Type: poi
Name: Frankfurt Airport & Fair Haus, Dunatring 1 Frankfurt/Main 
ID:
Location:[8.556722, 50.11739]
Poi:2717686
Byway:
Waypoint after:

Timestamp:2015-04-23 00:28:33 +0000",4/23/15 12:28:33 AM,4/23/15 12:28:33 AM,,,
106438,17,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Heidelberg, Baden-Württemberg, Germany
ID:
Location:[8.6908, 49.4077]
Poi:
Byway:
Waypoint before:
Type: poi
Name: Frankfurt Airport & Fair Haus, Dunatring 1 Frankfurt/Main 
ID:
Location:[8.556722, 50.11739]
Poi:2717686
Byway:
Waypoint after:

Timestamp:2015-04-23 00:31:11 +0000",4/23/15 12:31:12 AM,4/23/15 12:31:12 AM,,,
106455,18,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Heidelberg, Baden-Württemberg, Germany
ID:
Location:[8.6908, 49.4077]
Poi:
Byway:
Waypoint before:
Type: geo
Name: Frankfurt, Bautzen, Sachsen, Germany
ID:
Location:[14.42307, 51.1889]
Poi:
Byway:
Waypoint after:

Timestamp:2015-04-23 00:32:19 +0000",4/23/15 12:32:20 AM,4/23/15 12:32:20 AM,,,
106528,19,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Heidelberg
ID:
Location:[8.6908, 49.4077]
Poi:
Byway:
Waypoint before:
Type: geo
Name: Frankfurt am Main, Hessen, Germany
ID:54729676
Location:[8.6718, 50.1103]
Poi:
Byway:
Waypoint after:
Type: geo
Name: Frankfurt am Main, Hessen, Germany
ID:54729677
Location:[8.6718, 50.1103]
Poi:
Byway:
Timestamp:2015-04-23 00:36:29 +0000",4/23/15 12:36:30 AM,4/23/15 12:36:30 AM,,,
106529,20,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Heidelberg
ID:
Location:[8.6908, 49.4077]
Poi:
Byway:
Waypoint before:
Type: geo
Name: Frankfurt am Main, Hessen, Germany
ID:54729676
Location:[8.6718, 50.1103]
Poi:
Byway:
Waypoint after:
Type: geo
Name: Frankfurt am Main, Hessen, Germany
ID:54729677
Location:[8.6718, 50.1103]
Poi:
Byway:
Timestamp:2015-04-23 00:37:10 +0000",4/23/15 12:37:10 AM,4/23/15 12:37:10 AM,,,
106530,21,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Eglin AFB, FL, USA
ID:
Location:[-86.5533382, 30.4635583]
Poi:
Byway:
Waypoint before:
Type: poi
Name: Scott Air Force Base
ID:
Location:[-89.868679077445, 38.5431979136711]
Poi:1757869
Byway:
Waypoint after:
Type: geo
Name: New Orleans, LA, USA
ID:
Location:[-90.0715323, 29.95106579999999]
Poi:
Byway:
Timestamp:2015-04-23 00:37:12 +0000",4/23/15 12:37:13 AM,4/23/15 12:37:13 AM,,,
106539,22,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Eglin AFB, FL, USA
ID:
Location:[-86.5533382, 30.4635583]
Poi:
Byway:
Waypoint before:
Type: poi
Name: Scott Air Force Base
ID:
Location:[-89.868679077445, 38.5431979136711]
Poi:1757869
Byway:
Waypoint after:
Type: geo
Name: New Orleans, LA, USA
ID:
Location:[-90.0715323, 29.95106579999999]
Poi:
Byway:
Timestamp:2015-04-23 00:37:26 +0000",4/23/15 12:37:27 AM,4/23/15 12:37:27 AM,,,
106556,23,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Eglin AFB, FL, USA
ID:
Location:[-86.5533382, 30.4635583]
Poi:
Byway:
Waypoint before:
Type: poi
Name: Scott Air Force Base
ID:
Location:[-89.868679077445, 38.5431979136711]
Poi:1757869
Byway:
Waypoint after:
Type: geo
Name: New Orleans, LA, USA
ID:
Location:[-90.0715323, 29.95106579999999]
Poi:
Byway:
Timestamp:2015-04-23 00:38:48 +0000",4/23/15 12:38:48 AM,4/23/15 12:38:48 AM,,,
106557,24,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Eglin AFB, FL, USA
ID:
Location:[-86.5533382, 30.4635583]
Poi:
Byway:
Waypoint before:
Type: poi
Name: Scott Air Force Base
ID:
Location:[-89.868679077445, 38.5431979136711]
Poi:1757869
Byway:
Waypoint after:
Type: geo
Name: New Orleans, LA, USA
ID:
Location:[-90.0715323, 29.95106579999999]
Poi:
Byway:
Timestamp:2015-04-23 00:38:56 +0000",4/23/15 12:38:56 AM,4/23/15 12:38:56 AM,,,
106622,25,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Eglin AFB, FL, USA
ID:
Location:[-86.5533382, 30.4635583]
Poi:
Byway:
Waypoint before:
Type: poi
Name: Scott Air Force Base
ID:
Location:[-89.868679077445, 38.5431979136711]
Poi:1757869
Byway:
Waypoint after:
Type: geo
Name: New Orleans, LA, USA
ID:
Location:[-90.0715323, 29.9510658]
Poi:
Byway:
Timestamp:2015-04-23 00:42:02 +0000",4/23/15 12:42:02 AM,4/23/15 12:42:02 AM,,,
106631,26,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Eglin AFB, FL, USA
ID:
Location:[-86.5533382, 30.4635583]
Poi:
Byway:
Waypoint before:
Type: poi
Name: Scott Air Force Base
ID:
Location:[-89.868679077445, 38.5431979136711]
Poi:1757869
Byway:
Waypoint after:
Type: geo
Name: New Orleans, LA, USA
ID:
Location:[-90.0715323, 29.9510658]
Poi:
Byway:
Timestamp:2015-04-23 00:42:53 +0000",4/23/15 12:42:53 AM,4/23/15 12:42:53 AM,,,
106632,27,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Eglin AFB, FL, USA
ID:54730016
Location:[-86.5533382, 30.4635583]
Poi:
Byway:
Waypoint before:
Type: geo
Name: Radcliff, KY, USA
ID:54730015
Location:[-85.9491298, 37.8403456]
Poi:
Byway:
Waypoint after:

Timestamp:2015-04-23 00:42:59 +0000",4/23/15 12:43:00 AM,4/23/15 12:43:00 AM,,,
106641,28,UnroutablePoint,"Unroutable Waypoint:
Type: geo
Name: Eglin AFB, FL, USA
ID:54730016
Location:[-86.5533382, 30.4635583]
Poi:
Byway:
Waypoint before:
Type: geo
Name: Radcliff, KY, USA
ID:54730015
Location:[-85.9491298, 37.8403456]
Poi:
Byway:
Waypoint after:

Timestamp:2015-04-23 00:43:16 +0000",4/23/15 12:43:17 AM,4/23/15 12:43:17 AM,,,
107138,468322,Poi,"Unroutable Waypoint:
Type: poi
Name: Sarnia
ID:
Location:[30.88083, -29.83194]
Poi:468322
Byway:
Waypoint before:
Type: geo
Name: 1-9 Martin Rd Mansfield, ON
ID:
Location:[-80.06406, 44.11213]
Poi:
Byway:
Waypoint after:

Timestamp:2015-04-23 01:12:39 +0000",4/23/15 1:12:40 AM,4/23/15 1:12:40 AM,,,
107139,468322,Poi,"Unroutable Waypoint:
Type: poi
Name: Sarnia
ID:
Location:[30.88083, -29.83194]
Poi:468322
Byway:
Waypoint before:
Type: geo
Name: 1-9 Martin Rd Mansfield, ON
ID:
Location:[-80.06406, 44.11213]
Poi:
Byway:
Waypoint after:

Timestamp:2015-04-23 01:12:47 +0000",4/23/15 1:12:48 AM,4/23/15 1:12:48 AM,,,
107140,468322,Poi,"Unroutable Waypoint:
Type: poi
Name: Sarnia
ID:
Location:[30.88083, -29.83194]
Poi:468322
Byway:
Waypoint before:
Type: geo
Name: 1-9 Martin Rd Mansfield, ON
ID:
Location:[-80.06406, 44.11213]
Poi:
Byway:
Waypoint after:

Timestamp:2015-04-23 01:13:00 +0000",4/23/15 1:13:00 AM,4/23/15 1:13:00 AM,,,
107149,468322,Poi,"Unroutable Waypoint:
Type: poi
Name: Sarnia
ID:
Location:[30.88083, -29.83194]
Poi:468322
Byway:
Waypoint before:
Type: geo
Name: 1-9 Martin Rd Mansfield, ON
ID:
Location:[-80.06406, 44.11213]
Poi:
Byway:
Waypoint after:

Timestamp:2015-04-23 01:13:46 +0000",4/23/15 1:13:46 AM,4/23/15 1:13:46 AM,,,
107182,468322,Poi,"Unroutable Waypoint:
Type: poi
Name: Sarnia
ID:
Location:[30.88083, -29.83194]
Poi:468322
Byway:
Waypoint before:
Type: geo
Name: Martin Rd, Mansfield, ON, Canada
ID:
Location:[-80.06428, 44.11131]
Poi:
Byway:
Waypoint after:

Timestamp:2015-04-23 01:14:18 +0000",4/23/15 1:14:18 AM,4/23/15 1:14:18 AM,,,
107191,468322,Poi,"Unroutable Waypoint:
Type: poi
Name: Sarnia
ID:
Location:[30.88083, -29.83194]
Poi:468322
Byway:
Waypoint before:
Type: geo
Name: Martin Rd, Mansfield, ON, Canada
ID:
Location:[-80.06428, 44.11131]
Poi:
Byway:
Waypoint after:

Timestamp:2015-04-23 01:14:35 +0000",4/23/15 1:14:35 AM,4/23/15 1:14:35 AM,,,
107192,468322,Poi,"Unroutable Waypoint:
Type: poi
Name: Sarnia
ID:
Location:[30.88083, -29.83194]
Poi:468322
Byway:
Waypoint before:
Type: geo
Name: Martin Rd, Mansfield, ON, Canada
ID:
Location:[-80.06428, 44.11131]
Poi:
Byway:
Waypoint after:

Timestamp:2015-04-23 01:14:50 +0000",4/23/15 1:14:50 AM,4/23/15 1:14:50 AM,,,
